exon_comb_dir	exon_comb_dir_count	read_coverage_good	exon_comb_short_rc	exon_comb_short
1,2,3,17,18	476	476	1-3,17-18	1-3,17-18
1,2,3,16,17,18	291	291	1-3,16-18	1-3,16-18
1,17,18	80	80	1,17-18	1,17-18
1,2,18	71	71	1-2,18	1-2,18
1,2,3,4,5,16,17,18	4	4	1-5,16-18	1-5,16-18
1,2,16,17,18	3	3	1-2,16-18	1-2,16-18
1,2,3,17,18,1,2,3,17,18	2	2	1-3,17-18,1-3,17-18	1-3,17-18,1-3,17-18
1,18	2	0	1,18	1,18
1,2,18,1,2,3,16,17,18	1	1	1-2,18,1-3,16-18	1-2,18,1-3,16-18
1,2,3,17,18,1,2,3,16,17,18	1	1	1-3,17-18,1-3,16-18	1-3,17-18,1-3,16-18
1,17,18,1,2,3,17,18	1	1	1,17-18,1-3,17-18	1,17-18,1-3,17-18
