read_id	read_length
read_00000	548
read_00001	554
read_00002	497
read_00003	550
read_00004	550
read_00005	554
read_00006	494
read_00007	555
read_00008	497
read_00009	272
read_00010	850
read_00011	496
read_00012	552
read_00013	499
read_00014	271
read_00015	493
read_00016	551
read_00017	552
read_00018	222
read_00019	495
read_00020	853
read_00021	552
read_00022	548
read_00023	206
read_00024	274
read_00025	205
read_00026	552
read_00027	554
read_00028	499
read_00029	554
read_00030	495
read_00031	553
read_00032	552
read_00033	498
read_00034	556
read_00035	499
read_00036	554
read_00037	493
read_00038	555
read_00039	273
read_00040	226
read_00041	554
read_00042	497
read_00043	496
read_00044	493
read_00045	781
read_00046	555
read_00047	552
read_00048	499
read_00049	551
read_00050	498
read_00051	499
read_00052	270
read_00053	556
read_00054	498
read_00055	223
read_00056	495
read_00057	998
read_00058	552
read_00059	274
read_00060	555
read_00061	494
read_00062	206
read_00063	1051
read_00064	555
read_00065	498
read_00066	555
read_00067	500
read_00068	500
read_00069	548
read_00070	498
read_00071	219
read_00072	223
read_00073	493
read_00074	498
read_00075	499
read_00076	269
read_00077	497
read_00078	223
read_00079	853
read_00080	277
read_00081	500
read_00082	552
read_00083	548
read_00084	224
read_00085	552
read_00086	557
read_00087	495
read_00088	549
read_00089	499
read_00090	555
read_00091	498
read_00092	499
read_00093	224
read_00094	490
read_00095	493
read_00096	553
read_00097	496
read_00098	499
read_00099	494
read_00100	225
read_00101	556
read_00102	497
read_00103	504
read_00104	498
read_00105	555
read_00106	500
read_00107	773
read_00108	492
read_00109	497
read_00110	268
read_00111	499
read_00112	556
read_00113	555
read_00114	552
read_00115	274
read_00116	226
read_00117	489
read_00118	552
read_00119	495
read_00120	550
read_00121	557
read_00122	500
read_00123	495
read_00124	499
read_00125	555
read_00126	499
read_00127	556
read_00128	499
read_00129	497
read_00130	555
read_00131	493
read_00132	226
read_00133	493
read_00134	266
read_00135	551
read_00136	271
read_00137	997
read_00138	555
read_00139	551
read_00140	499
read_00141	499
read_00142	545
read_00143	274
read_00144	496
read_00145	496
read_00146	547
read_00147	495
read_00148	225
read_00149	549
read_00150	549
read_00151	143
read_00152	496
read_00153	274
read_00154	498
read_00155	496
read_00156	272
read_00157	555
read_00158	552
read_00159	553
read_00160	223
read_00161	553
read_00162	553
read_00163	550
read_00164	555
read_00165	201
read_00166	499
read_00167	552
read_00168	553
read_00169	274
read_00170	489
read_00171	498
read_00172	553
read_00173	202
read_00174	494
